date,user,message
2024-04-01 11:17:00,group_notification,"Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them. Tap to learn more.
"
2024-05-02 17:10:00,Siddhi Didi,"<Media omitted>
"
2024-05-04 09:54:00,Siddhi Didi,"null
"
2024-05-07 19:03:00,Siddhi Didi,"null
"
2024-06-06 19:54:00,Siddhi Didi,"Sahil
"
2024-06-06 20:06:00,Sahil,"Ha bol
"
2024-06-06 20:06:00,Siddhi Didi,"Mala ozee cha subscription hav hota ek movie bggycg siddhu laptop vapartey
"
2024-06-06 20:06:00,Sahil,"Ok ghe na
"
2024-06-06 20:06:00,Sahil,"7208270384
"
2024-06-06 20:06:00,Sahil,"OTP ala ki deto
"
2024-06-06 20:07:00,Sahil,"6626
"
2024-06-06 20:09:00,Siddhi Didi,"null
"
2024-06-06 20:09:00,Siddhi Didi,"Chukun lagala
"
2024-06-06 20:09:00,Siddhi Didi,"Thank you sahil
"
2024-06-06 20:09:00,Siddhi Didi,"🙌🏻
"
2024-06-06 20:11:00,Sahil,"U r most welcome 😊
"
2024-06-08 13:31:00,Siddhi Didi,"hi sahil
"
2024-06-08 13:32:00,Sahil,"Hi
"
2024-06-08 13:32:00,Siddhi Didi,"are amhi kuthe tari jaych boltoy kuthe te ajun tharal nhi
"
2024-06-08 13:32:00,Siddhi Didi,"mag paus lagala ki nhi jata yenar
"
2024-06-08 13:32:00,Siddhi Didi,"tar tu yeshil kai
"
2024-06-08 13:33:00,Siddhi Didi,"as firycha nhi unhat
"
2024-06-08 13:35:00,Sahil,"Mi alo asto
"
2024-06-08 13:35:00,Sahil,"Pn
"
2024-06-08 13:35:00,Sahil,"Mala hospital la check up la jaycha ahe
"
2024-06-08 13:39:00,Siddhi Didi,"oh Wednesday la kai
"
2024-06-08 13:40:00,Sahil,"Nahi Tuesday la admit karun check up karaycha boltyt tr 2 divas tari thevtil I guess
"
2024-06-08 13:40:00,Sahil,"Tumhi jaun yaa mazhya vr thambu nka😂
"
2024-06-08 13:40:00,Siddhi Didi,"achha
"
2024-07-03 17:54:00,Siddhi Didi,"Sahil
"
2024-07-03 17:56:00,Siddhi Didi,"Udya amhi bhaher jaycha vichar kartoy ajun nakki nahi but movie la jaycha tar tu yeshil kai
"
2024-07-03 18:49:00,Sahil,"Ho
"
2024-07-03 18:51:00,Sahil,"Kiti vajta?
"
2024-07-03 18:52:00,Siddhi Didi,"Thmb te sangte tula me but mostly 11.30 prybt ani 5 la free
"
2024-07-03 18:53:00,Sahil,"Movie la jaychay na
"
2024-07-03 18:54:00,Siddhi Didi,"Hooo
"
2024-07-03 18:54:00,Sahil,"Mg thoda lavkr bagh na
"
2024-07-03 18:55:00,Sahil,"Karan 5 la mg mala gardi bhetnar
"
